video_file,face_emotion,audio_sentiment,transcribed_text,emotion_list
angry.mp4,neutral,angry,,"['neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'angry', 'angry', 'angry', 'surprise', 'sad', 'surprise', 'angry', 'surprise', 'neutral', 'angry', 'sad', 'angry', 'surprise', 'surprise', 'surprise', 'neutral', 'sad', 'neutral', 'neutral', 'neutral', 'neutral']"
angry2.mp4,neutral,angry,,"['neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'happy', 'neutral', 'angry', 'surprise', 'neutral', 'surprise', 'neutral', 'neutral', 'surprise', 'surprise', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral']"
angry3.mp4,neutral,fear,,"['neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'angry', 'neutral', 'surprise', 'neutral', 'fear', 'angry', 'fear', 'neutral', 'surprise', 'fear', 'surprise', 'angry', 'angry', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral']"
angry5.mp4,neutral,angry,,"['neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'angry', 'angry', 'neutral', 'neutral', 'sad', 'sad', 'angry', 'disgust', 'angry', 'surprise', 'surprise', 'neutral', 'sad', 'neutral', 'neutral', 'neutral', 'neutral']"
angry6.mp4,neutral,fear,,"['neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'angry', 'surprise', 'angry', 'neutral', 'angry', 'surprise', 'neutral', 'fear', 'angry', 'angry', 'surprise', 'neutral', 'neutral', 'angry', 'surprise', 'neutral', 'surprise', 'surprise', 'angry', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral']"
angry7.mp4,neutral,fear,,"['neutral', 'neutral', 'neutral', 'neutral', 'sad', 'angry', 'angry', 'neutral', 'surprise', 'angry', 'surprise', 'surprise', 'happy', 'neutral', 'surprise', 'happy', 'angry', 'surprise', 'surprise', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral']"
angy4.mp4,neutral,angry,,"['neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'surprise', 'surprise', 'happy', 'angry', 'angry', 'surprise', 'neutral', 'neutral', 'angry', 'neutral', 'neutral', 'surprise', 'surprise', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral']"
disgust.mp4,sad,disgust,,"['neutral', 'neutral', 'neutral', 'neutral', 'sad', 'angry', 'sad', 'sad', 'sad', 'sad', 'sad', 'angry', 'fear', 'fear', 'neutral', 'angry', 'fear', 'fear', 'fear', 'sad', 'sad', 'sad', 'sad', 'sad', 'sad']"
disgust2.mp4,sad,disgust,,"['neutral', 'neutral', 'neutral', 'neutral', 'angry', 'sad', 'angry', 'angry', 'angry', 'sad', 'disgust', 'disgust', 'sad', 'sad', 'angry', 'sad', 'sad', 'sad', 'sad', 'sad', 'sad', 'sad', 'sad', 'sad']"
disgust3.mp4,sad,fear,,"['neutral', 'neutral', 'surprise', 'fear', 'sad', 'sad', 'fear', 'sad', 'sad', 'sad', 'sad', 'fear', 'sad', 'sad', 'sad', 'sad', 'sad', 'sad', 'sad', 'fear', 'sad', 'sad', 'sad', 'neutral', 'sad', 'neutral']"
disgust4.mp4,neutral,disgust,,"['neutral', 'neutral', 'neutral', 'neutral', 'angry', 'sad', 'angry', 'angry', 'angry', 'fear', 'surprise', 'angry', 'fear', 'sad', 'sad', 'sad', 'angry', 'fear', 'surprise', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral']"
disgust5.mp4,sad,disgust,,"['neutral', 'neutral', 'neutral', 'sad', 'sad', 'sad', 'sad', 'sad', 'sad', 'angry', 'fear', 'angry', 'angry', 'sad', 'sad', 'fear', 'sad', 'fear', 'sad', 'sad', 'sad', 'sad', 'sad', 'sad', 'sad', 'sad']"
disgust6.mp4,sad,disgust,,"['neutral', 'neutral', 'angry', 'angry', 'angry', 'sad', 'angry', 'sad', 'sad', 'sad', 'disgust', 'disgust', 'disgust', 'sad', 'disgust', 'disgust', 'angry', 'sad', 'sad', 'sad', 'sad', 'sad', 'sad', 'fear', 'fear']"
disgust7.mp4,sad,disgust,,"['neutral', 'angry', 'surprise', 'angry', 'sad', 'angry', 'fear', 'sad', 'sad', 'sad', 'disgust', 'angry', 'surprise', 'sad', 'sad', 'sad', 'fear', 'disgust', 'sad', 'sad', 'sad', 'sad', 'sad', 'sad', 'sad', 'sad', 'sad']"
fear.mp4,surprise,fear,,"['neutral', 'neutral', 'neutral', 'surprise', 'surprise', 'surprise', 'surprise', 'surprise', 'surprise', 'surprise', 'surprise', 'surprise', 'surprise', 'surprise', 'fear', 'fear', 'surprise', 'surprise', 'surprise', 'surprise', 'fear', 'surprise', 'surprise', 'surprise']"
fear2.mp4,surprise,fear,,"['neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'surprise', 'surprise', 'neutral', 'surprise', 'surprise', 'surprise', 'surprise', 'surprise', 'surprise', 'surprise', 'surprise', 'surprise', 'fear', 'surprise', 'surprise', 'fear', 'fear']"
fear3.mp4,surprise,fear,,"['neutral', 'neutral', 'fear', 'fear', 'fear', 'fear', 'surprise', 'surprise', 'surprise', 'fear', 'surprise', 'fear', 'surprise', 'fear', 'fear', 'fear', 'surprise', 'fear', 'surprise', 'surprise', 'surprise', 'surprise', 'surprise']"
fear4.mp4,fear,fear,,"['neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'happy', 'neutral', 'neutral', 'surprise', 'fear', 'fear', 'fear', 'fear', 'fear', 'surprise', 'fear', 'fear', 'fear', 'fear', 'fear', 'fear', 'neutral']"
fear5.mp4,fear,fear,,"['neutral', 'fear', 'fear', 'surprise', 'fear', 'neutral', 'surprise', 'fear', 'fear', 'fear', 'fear', 'fear', 'fear', 'fear', 'fear', 'surprise', 'fear', 'fear', 'surprise', 'fear', 'fear', 'fear', 'fear', 'fear']"
fear6.mp4,surprise,fear,,"['surprise', 'surprise', 'fear', 'surprise', 'surprise', 'surprise', 'surprise', 'surprise', 'surprise', 'surprise', 'surprise', 'surprise', 'surprise', 'surprise', 'surprise', 'surprise', 'surprise', 'surprise', 'fear', 'fear', 'fear', 'surprise', 'surprise', 'fear']"
fear7.mp4,surprise,fear,,"['surprise', 'surprise', 'surprise', 'surprise', 'surprise', 'fear', 'angry', 'surprise', 'surprise', 'surprise', 'fear', 'fear', 'fear', 'fear', 'surprise', 'surprise', 'surprise', 'surprise', 'fear', 'sad', 'sad']"
happy.mp4,happy,happy,,"['happy', 'happy', 'happy', 'surprise', 'happy', 'happy', 'happy', 'happy', 'surprise', 'fear', 'surprise', 'surprise', 'happy', 'surprise', 'surprise', 'surprise', 'surprise', 'happy', 'happy', 'happy', 'happy', 'happy', 'happy', 'happy']"
happy2.mp4,happy,happy,,"['happy', 'happy', 'happy', 'surprise', 'happy', 'happy', 'surprise', 'surprise', 'surprise', 'happy', 'surprise', 'happy', 'surprise', 'surprise', 'surprise', 'surprise', 'happy', 'happy', 'happy', 'happy', 'happy', 'happy', 'happy']"
happy3.mp4,happy,happy,,"['neutral', 'neutral', 'happy', 'happy', 'happy', 'happy', 'surprise', 'happy', 'happy', 'happy', 'happy', 'neutral', 'surprise', 'happy', 'surprise', 'happy', 'happy', 'happy', 'happy', 'happy', 'happy', 'happy']"
happy4.mp4,happy,happy,,"['neutral', 'neutral', 'neutral', 'happy', 'happy', 'happy', 'happy', 'happy', 'surprise', 'surprise', 'happy', 'surprise', 'surprise', 'happy', 'happy', 'surprise', 'happy', 'happy', 'happy', 'happy', 'happy', 'happy', 'happy']"
happy5.mp4,happy,neutral,,"['neutral', 'neutral', 'neutral', 'surprise', 'surprise', 'surprise', 'angry', 'neutral', 'happy', 'happy', 'happy', 'surprise', 'happy', 'fear', 'happy', 'happy', 'happy', 'happy', 'happy', 'happy', 'happy']"
happy6.mp4,happy,happy,,"['neutral', 'neutral', 'neutral', 'neutral', 'happy', 'happy', 'happy', 'happy', 'happy', 'surprise', 'surprise', 'happy', 'surprise', 'happy', 'surprise', 'happy', 'happy', 'happy', 'happy', 'happy', 'happy', 'happy']"
happy7.mp4,happy,fear,,"['happy', 'happy', 'happy', 'surprise', 'happy', 'happy', 'surprise', 'surprise', 'happy', 'happy', 'surprise', 'surprise', 'happy', 'surprise', 'surprise', 'surprise', 'happy', 'happy', 'happy', 'happy', 'happy', 'happy', 'happy']"
neutral.mp4,neutral,neutral,,"['neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'surprise', 'happy', 'surprise', 'surprise', 'surprise', 'neutral', 'neutral', 'neutral', 'neutral', 'surprise', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral']"
neutral2.mp4,happy,neutral,,"['neutral', 'neutral', 'neutral', 'happy', 'happy', 'happy', 'happy', 'neutral', 'neutral', 'neutral', 'happy', 'surprise', 'happy', 'happy', 'surprise', 'happy', 'happy', 'happy', 'happy', 'happy', 'happy']"
neutral3.mp4,happy,neutral,,"['neutral', 'happy', 'happy', 'happy', 'happy', 'happy', 'happy', 'happy', 'surprise', 'surprise', 'happy', 'surprise', 'happy', 'neutral', 'happy', 'happy', 'happy', 'happy', 'happy', 'happy', 'happy']"
neutral4.mp4,neutral,neutral,,"['neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'surprise', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral']"
neutral5.mp4,neutral,neutral,,"['neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'surprise', 'neutral', 'happy', 'neutral', 'neutral', 'surprise', 'surprise', 'neutral', 'surprise', 'surprise', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral']"
neutral6.mp4,neutral,neutral,,"['neutral', 'neutral', 'neutral', 'surprise', 'happy', 'surprise', 'neutral', 'neutral', 'angry', 'surprise', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral']"
neutral7.mp4,neutral,neutral,,"['neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'surprise', 'happy', 'surprise', 'surprise', 'surprise', 'neutral', 'neutral', 'neutral', 'neutral', 'surprise', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral']"
sad.mp4,sad,disgust,,"['neutral', 'fear', 'fear', 'fear', 'fear', 'sad', 'sad', 'sad', 'sad', 'sad', 'fear', 'angry', 'sad', 'sad', 'sad', 'sad', 'sad', 'sad', 'sad', 'sad', 'sad', 'fear', 'fear', 'sad', 'sad', 'sad']"
sad2.mp4,sad,sad,,"['neutral', 'neutral', 'neutral', 'neutral', 'sad', 'sad', 'sad', 'sad', 'sad', 'sad', 'sad', 'sad', 'sad', 'sad', 'sad', 'sad', 'sad', 'sad', 'sad', 'sad', 'sad', 'sad', 'sad']"
sad3.mp4,fear,sad,,"['neutral', 'neutral', 'surprise', 'neutral', 'neutral', 'neutral', 'surprise', 'fear', 'fear', 'sad', 'fear', 'sad', 'surprise', 'surprise', 'fear', 'surprise', 'neutral', 'fear', 'sad', 'surprise', 'fear', 'fear', 'sad', 'surprise', 'fear', 'fear', 'fear', 'sad']"
sad4.mp4,sad,sad,,"['neutral', 'neutral', 'neutral', 'neutral', 'sad', 'sad', 'neutral', 'neutral', 'sad', 'neutral', 'sad', 'sad', 'sad', 'neutral', 'sad', 'neutral', 'sad', 'sad', 'neutral', 'sad', 'sad', 'sad', 'sad', 'sad']"
sad5.mp4,neutral,neutral,,"['neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'surprise', 'neutral', 'neutral', 'neutral', 'neutral', 'fear', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral']"
sad6.mp4,neutral,sad,,"['neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'sad', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral']"
sad7.mp4,sad,disgust,,"['neutral', 'neutral', 'neutral', 'neutral', 'sad', 'fear', 'sad', 'sad', 'sad', 'surprise', 'sad', 'surprise', 'surprise', 'fear', 'sad', 'fear', 'fear', 'sad', 'fear', 'fear', 'fear', 'sad', 'sad', 'sad', 'sad', 'sad', 'sad']"
